time vel_channel vel_finger vel_lid reacted flux_finger_advection flux_finger_diffusion flux_inlet_advection flux_inlet_diffusion flux_outlet_advection mass_total mass_finger
100 4.03276e-05 4.45254e-08 3.26021e-07 0 0 0 0 0 0 1147 0
200 5.76373e-05 1.77946e-08 4.94777e-07 0 0 0 0 0 0 1147 0
300 7.10532e-05 1.78918e-08 6.24015e-07 0 0 0 0 0 0 1147 0
400 8.24619e-05 1.6706e-08 7.34201e-07 0 0 0 0 0 0 1147 0
500 9.25898e-05 1.43556e-08 8.31283e-07 0 0 0 0 0 0 1147 0
600 0.000101809 1.63643e-08 9.18517e-07 0 0 0 0 0 0 1147 0
700 0.000110339 1.63871e-08 9.98458e-07 0 0 0 0 0 0 1147 0
800 0.000118324 1.78794e-08 1.07285e-06 0 0 0 0 0 0 1147 0
900 0.000125864 1.87971e-08 1.14275e-06 0 0 0 0 0 0 1147 0
1000 0.00013303 1.98359e-08 1.20883e-06 0 0 0 0 0 0 1147 0
1100 0.000139878 2.08985e-08 1.27164e-06 0 0 0 0 0 0 1147 0
1200 0.000146451 2.18775e-08 1.33164e-06 0 0 0 0 0 0 1147 0
1300 0.000152781 2.28777e-08 1.38916e-06 0 0 0 0 0 0 1147 0
1400 0.000158897 2.38188e-08 1.44451e-06 0 0 0 0 0 0 1147 0
1500 0.00016482 2.47434e-08 1.4979e-06 0 0 0 0 0 0 1147 0
1600 0.000170571 2.56357e-08 1.54953e-06 0 0 0 0 0 0 1147 0
1700 0.000176164 2.65023e-08 1.59957e-06 0 0 0 0 0 0 1147 0
1800 0.000181614 2.73461e-08 1.64815e-06 0 0 0 0 0 0 1147 0
1900 0.000186931 2.81669e-08 1.69539e-06 0 0 0 0 0 0 1147 0
2000 0.000192128 2.89676e-08 1.74139e-06 0 0 0 0 0 0 1147 0
2100 0.000197211 2.97488e-08 1.78626e-06 0 0 0 0 0 0 1147 0
2200 0.00020219 3.05123e-08 1.83007e-06 0 0 0 0 0 0 1147 0
2300 0.000207071 3.12589e-08 1.87289e-06 0 0 0 0 0 0 1147 0
2400 0.000211861 3.19898e-08 1.91479e-06 0 0 0 0 0 0 1147 0
2500 0.000216565 3.2706e-08 1.95582e-06 0 0 0 0 0 0 1147 0
2600 0.000221189 3.34083e-08 1.99603e-06 0 0 0 0 0 0 1147 0
2700 0.000225736 3.40974e-08 2.03548e-06 0 0 0 0 0 0 1147 0
