time vel_channel vel_finger vel_lid reacted flux_finger_advection flux_finger_diffusion flux_inlet_advection flux_inlet_diffusion flux_outlet_advection mass_total mass_finger
1000 0.000133019 1.6784e-08 2.3185e-07 0 0 0 0 0 0 1147 0
2000 0.000192105 2.39557e-08 3.24727e-07 0 0 0 0 0 0 1147 0
3000 0.000238927 2.95559e-08 3.96153e-07 0 0 0 0 0 0 1147 0
4000 0.000279375 3.42886e-08 4.56437e-07 0 0 0 0 0 0 1147 0
5000 0.000315736 3.84637e-08 5.09579e-07 0 0 0 0 0 0 1147 0
6000 0.000349181 4.22417e-08 5.57642e-07 6.51223e-05 3.7766e-08 0.00286922 0.386642 9.18592 0 19390.3 0.744373
7000 0.000380409 4.57184e-08 6.0185e-07 0.000697067 1.70999e-07 0.0124882 0.426643 6.44623 6.14586e-206 27388.7 8.80527
8000 0.000409873 4.89561e-08 6.43005e-07 0.00195999 2.70923e-07 0.0201833 0.462199 5.22529 1.99704e-138 33608.7 24.9567
9000 0.000437891 5.19983e-08 6.81663e-07 0.00360976 3.34027e-07 0.0254025 0.495351 4.49474 5.79181e-104 38919.2 45.8832
10000 0.000464694 5.48767e-08 7.1823e-07 0.00546101 3.7524e-07 0.0290154 0.526772 3.99458 5.64895e-83 43656.3 69.2172
11000 0.000490456 5.76153e-08 7.53012e-07 0.00740201 4.04139e-07 0.0316631 0.556814 3.62419 7.45483e-69 47992.1 93.5737
12000 0.000515312 6.02326e-08 7.86249e-07 0.00936845 4.26088e-07 0.0337336 0.585705 3.33535 1.03427e-58 52028.4 118.171
13000 0.00053937 6.27435e-08 8.18128e-07 0.011324 4.44046e-07 0.035453 0.613607 3.10171 4.44271e-51 55831.5 142.575
14000 0.000562719 6.51599e-08 8.48804e-07 0.0132483 4.59646e-07 0.0369525 0.640642 2.90746 3.95718e-45 59447.2 166.548
15000 0.000585431 6.74918e-08 8.78404e-07 0.0151307 4.73788e-07 0.0383089 0.666908 2.74252 2.31021e-40 62908.6 189.964
16000 0.000607566 6.97474e-08 9.07034e-07 0.0169655 4.86977e-07 0.0395675 0.692484 2.60006 1.8471e-36 66240.9 212.76
